symbol,yahooSymbol,name,sector
AMXL,AMXB.MX,América Móvil,Telecom
MEGACPO,MEGACPO.MX,Megacable Holdings,Telecom
SITESB-1,SITESB-1.MX,Sitios Latinoamérica,Telecom
AXTELCPO,AXTELCPO.MX,Axtel,Telecom
TOTALPL,TOTALPL.MX,Total Play Telecomunicaciones,Telecom
FEMSAUBD,FEMSAUBD.MX,Fomento Económico Mexicano (FEMSA),Consumer
KOFUBL,KOFUBL.MX,Coca-Cola FEMSA,Beverages
AC*,AC.MX,Arca Continental,Beverages
CUERVO*,CUERVO.MX,Becle (José Cuervo),Beverages
CULTIBAB,CULTIBAB.MX,Cultivar,Beverages
BIMBOA,BIMBOA.MX,Grupo Bimbo,Food
GRUMAB,GRUMAB.MX,Gruma,Food
BACHOCOB,BACHOCOB.MX,Industrias Bachoco,Food
HERDEZ*,HERDEZ.MX,Grupo Herdez,Food
LALAB,LALAB.MX,Grupo Lala,Food
MINSA*,MINSAB.MX,Grupo Minsa,Food
KIMBERA,KIMBERA.MX,Kimberly-Clark de México,Consumer Products
ALSEA*,ALSEA.MX,Alsea,Consumer Products
WALMEX*,WALMEX.MX,Walmart de México,Retail
CHDRAUIB,CHDRAUIB.MX,Grupo Chedraui,Retail
SORIANAB,SORIANAB.MX,Organización Soriana,Retail
LIVEPOLC-1,LIVEPOLC-1.MX,El Puerto de Liverpool,Retail
LACOMERUBC,LACOMERUBC.MX,La Comer,Retail
ELEKTRA*,ELEKTRA.MX,Grupo Elektra,Retail
GCARSOA1,GCARSOA1.MX,Grupo Carso,Retail
COPPEL,COPPEL.MX,Coppel,Retail
GFINBURO,GFINBURO.MX,Grupo Financiero Inbursa,Financial
GFNORTEO,GFNORTEO.MX,Grupo Financiero Banorte,Financial
BSMXB,BSMXB.MX,Banco Santander México,Financial
GENTERA,GENTERA.MX,Gentera,Financial
BOLSAA,BOLSAA.MX,Bolsa Mexicana de Valores,Financial
GFREGIOO,GFREGIOO.MX,Banregio Grupo Financiero,Financial
CREAL*,CREAL.MX,Crédito Real,Financial
FINDEP*,FINDEP.MX,Financiera Independencia,Financial
UNIFINA,UNIFINA.MX,Unifin Financiera,Financial
BBAJIOO,BBAJIOO.MX,BanBajío,Financial
MONEXB,MONEXB.MX,Monex Grupo Financiero,Financial
GFMULTIO,GFMULTIO.MX,Grupo Financiero Multiva,Financial
CIBANCOB,CIBANCOB.MX,CIBanco,Financial
ACTINVRB,ACTINVRB.MX,Corporación Actinver,Financial
VALUEGFO,VALUEGFO.MX,Value Grupo Financiero,Financial
RA*,RA.MX,Regional SAB,Financial
Q*,Q.MX,Quálitas Controladora,Insurance
GMEXICOB,GMEXICOB.MX,Grupo México,Mining
PENOLES*,PENOLES.MX,Industrias Peñoles,Mining
MFRISCOA-1,MFRISCOA-1.MX,Minera Frisco,Mining
